"rank_mu","rank_nu","mu_mean","nu_mean","mu_sim","nu_sim","ess_mean","rhat_max","time_sec","ess_per_sec"
122,140,0.178823680060695,0.0483599275,0.115804368958372,0.0665308216941282,5.28466695686121,1.14279150260147,46.9242007732391,0.112621352516995
17,21,0.186581009078666,0.277782502,9.77909359099388e-06,0.0668725490906696,11.2969183667354,1.08224225380993,29.7464027404785,0.37977426935603
20,21,0.174070057926276,0.220305954,0.000169778328211483,0.0669144257565673,26.977002029635,1.00596924574218,34.1205658912659,0.790637591287444
76,87,0.0515012290780869,0.1050083815,0.000145938471463906,0.0673667094343227,4.08281730666769,1.21037550853125,35.0720338821411,0.116412333552936
36,45,0.417310063504,0.114412615,0.061419458506699,0.0675865486229874,39.1322922991658,1.0397714255249,40.0723166465759,0.976541801770514
0,0,0.0530130638699187,0.7605749045,2.99828173247515e-16,0.0680543120816033,16.7402483853721,1.06135239522182,26.1452007293701,0.640279971787211
2,0,0.013854079641371,0.311420651,2.75675616529967e-12,0.0682738333493681,35.1362117647217,1.00004164030142,27.8035273551941,1.26373216304002
113,68,15.03377535,0.0766659035,15.453466332146,0.0687549231461504,83.8377143723514,1.05334921655684,48.0898435115814,1.74335594068134
42,26,0.00765066766443652,0.1353447805,4.62020585138514e-06,0.0688962197704474,23.7401494786864,1.05046604233035,31.6664559841156,0.74969391871938
198,164,20.5996225,0.0577847605,26.8311914880384,0.0691252410643838,86.6958005886836,0.999194130229031,56.0254240036011,1.54743675983802
74,55,3.003422625,0.0940730335,2.52942958039244,0.0693137564678685,43.0614445406301,1.00322256476511,44.9491641521454,0.958003232159653
24,27,0.258820754814484,0.168975122,0.00374217720422251,0.0702633646128534,40.8443996938521,0.998605014683665,33.3437204360962,1.22495028028234
4,6,0.0937649448742204,0.3402064655,2.08903012712627e-07,0.071388708111467,28.842733174898,1.09357933219199,31.9289808273315,0.903340239103665
90,97,0.358896844614649,0.0913489787,0.0728030700460187,0.0717267507870055,17.4447427001447,0.998565851438259,44.7884912490845,0.38949163532052
3,3,0.284134094338,0.2320990855,0.00154057375391383,0.071817044695146,29.8466924542829,0.998289390863617,30.2812948226929,0.985647827447448
14,14,0.343533070762896,0.6115617555,2.00994167230482e-06,0.0727044562483565,5.38648282234154,1.17559649158168,28.0266110897064,0.192191728250722
47,90,112.250535,0.074893683,109.541879217171,0.0732847681972142,139.13100284146,0.996858128601924,84.2456426620483,1.65149197566911
111,99,0.0489796758248281,0.084583046,0.0116272347554541,0.0747774695854664,9.68729714659661,1.12678592474216,38.5519523620605,0.251279028766647
62,66,0.0106646179874228,0.1124123985,1.8908630090082e-05,0.0760141055977105,9.77834495597581,1.12792771743305,33.1784460544586,0.294719799110717
69,78,0.0321148154243263,0.1188337035,5.28000446495739e-05,0.0762626446842559,8.97348537548758,1.18879401753768,34.6955070495605,0.258635372086347
0,0,0.6770079725,0.41488291,0.00632847054450189,0.0768275601078648,47.2030657914516,0.997542541718926,26.5896377563477,1.77524290567603
173,15,79.8852935,0.098923743,83.8764900145068,0.0777278841639391,156.806264513997,1.00908320795856,64.1425888538361,2.44465132006625
90,89,0.200664216375767,0.0981311115,0.0456362729997292,0.0777393607771875,23.1324335932072,1.00187243808544,39.6666855812073,0.583170316709458
95,78,0.117713278608279,0.1171308645,0.0165305430078319,0.0780114484095802,20.8947133469622,1.00636057328367,36.2586796283722,0.57626790498494
4,2,0.4495847916,0.2559914605,0.0115333718092649,0.0780426997199708,38.8177882456873,1.01523949254492,30.3274290561676,1.27995644384478
85,65,0.0319559644054232,0.112904772,0.00443005145929874,0.0796052708104957,4.68162828219247,1.27043983945168,35.9494414329529,0.130228123041185
50,58,0.0176070677628542,0.1283295665,2.53547858553297e-05,0.0813163718434096,10.3229717299859,1.07826984682263,33.8261156082153,0.305177568998751
194,193,0.046418111317166,0.04163443225,0.235910146552506,0.0822781048329522,29.8214263672401,0.998274966775855,48.1062710285187,0.619907253870523
2,3,0.00959154174582679,0.313359461,6.82722175336619e-13,0.0828287538723458,16.5061299558457,1.14357365701058,26.4913105964661,0.623077136774334
110,131,54.985464,0.079799605,55.2890549310885,0.0836730057088059,95.4383993472505,0.995540327719661,58.8077983856201,1.62288679337105
113,64,34.7026495,0.0922204925,35.124522495659,0.0839919853179729,101.976154028155,1.00237967333651,48.1208148002625,2.1191693127274
0,0,0.0160368693208132,0.749945735,2.37456650734359e-20,0.0842630845652869,19.507386708301,1.01931685419912,21.9374897480011,0.889226020496648
